Id_Rubro,RUBRO,VALOR
236,"TRANSPORTE DE PRODUCTOS LACTEOS",9900.0000
237,"TRANSPORTE DE SUSTANCIAS ALIMENTICIAS",9900.0000
238,"TRIPERIA",25200.0000
239,"VENTA AMBULANTE DE CHURROS",4050.0000
240,"VENTA AMBULANTE DE FRUTAS Y VERDURAS",4050.0000
241,"VENTA AMBULANTE DE GOLOSINAS",4050.0000
242,"VENTA AMBULANTE DE HELADOS",4050.0000
243,"VENTA AMBULANTE DE PANCHOS",4050.0000
244,"VENTA AMBULANTE DE PESCADO",4050.0000
245,"VENTA CIGARR. GOLOSINAS, BEBIDAS ENVASADAS",7050.0000
246,"VENTA DE ART. DE ALMACEN ENVASADOS",7050.0000
247,"VENTA DE ART. DE REPOSTERIA Y COTILLON",7050.0000
248,"VENTA DE AVES EVISCERADAS Y HUEVOS",4050.0000
249,"VENTA DE BEBIDAS ENVASADAS",4050.0000
250,"VENTA DE BEBIDAS ENVASADAS Y CONSERVAS ENVASADAS",4050.0000
251,"VENTA DE BEBIDAS POR MAYOR",25200.0000
252,"VENTA DE CARNE PREEMPAQUETADA",7050.0000
253,"VENTA DE GALLETITAS",4050.0000
254,"VENTA DE HELADOS",7950.0000
255,"VENTA DE HIELO",4050.0000
256,"VENTA DE LECHE Y DERIVADOS",4050.0000
257,"VENTA DE MIEL",7050.0000
258,"VENTA DE PAN Y FACTURAS",4050.0000
259,"VENTA DE PAN, FACTURAS Y CONFITURAS",7050.0000
260,"VENTA DE PASTAS FRESCAS",7050.0000
261,"VENTA DE PESCADO",4050.0000
262,"VENTA DE PRODUCTOS DE CONFITERIA Y MASITAS",7050.0000
263,"VENTA POR MAYOR DE CAFÉ, TE, ESPECIAS",4050.0000
264,"VENTA POR MAYOR GALLETITAS, GOLOSINAS",7050.0000
265,"VERDULERIA",4050.0000
266,"VERDULERIA AL POR MAYOR",25200.0000
267,"ESTABLECIMIENTO EDUCACIÓN INICIAL Y/O GUARDERÍA INFANTIL C/COMIDA",10050.0000
268,"E-1",10200.0000
269,"E-2",10200.0000
270,"FRACCIONAMIENTO Y VENTA MINORISTA DE PRODUCTOS DIETARIOS, FRUTAS DESECADAS Y SEMILLAS",12000.0000
